left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,0,52,0,0,0,0,0,0,0,0,71,74,0,0,0,0,0,0,0,0,0,0,13,46,0,0,21,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,11,43,0,0,0,0,0,0,0,0,0,0,66,73,0,0,0,forward
0,0,0,0,0,0,0,0,0,26,20,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,28,41,0,17,0,0,0,0,0,0,0,0,73,71,0,0,0,0,0,0,0,0,0,0,12,46,0,0,12,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,48,67,0,0,0,forward
0,0,0,0,0,0,0,15,10,28,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,0,0,0,32,45,0,0,0,0,0,0,0,0,0,0,72,64,0,0,0,0,0,0,0,0,0,0,16,49,0,0,0,0,0,0,0,0,0,0,8,52,4,0,0,0,0,0,0,0,0,0,19,50,0,0,0,0,0,0,0,0,0,0,72,82,0,0,0,forward
0,0,0,0,0,0,6,14,12,49,58,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,31,0,40,0,0,0,0,0,0,0,0,53,32,0,0,0,0,0,0,0,0,0,0,8,42,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,40,52,0,0,0,forward
0,0,0,0,0,0,0,0,0,67,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37,0,35,0,0,0,0,0,0,0,11,78,75,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,24,45,0,0,0,forward
0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,56,62,0,0,0,0,0,0,0,0,0,0,185,99,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,38,51,0,0,0,forward
0,0,0,0,0,0,0,0,8,35,20,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,12,27,0,32,0,0,0,0,0,0,0,0,48,44,0,21,0,0,0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,43,60,0,0,0,forward
0,0,0,0,0,0,0,3,10,29,15,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,14,29,0,24,0,0,0,0,0,0,0,0,50,43,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,46,63,0,0,0,forward
0,0,0,0,0,0,0,33,18,9,0,0,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,0,0,0,0,51,55,0,0,0,0,0,0,0,0,0,0,107,45,0,0,0,0,0,0,0,0,0,0,13,48,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,10,45,0,0,0,0,0,0,0,0,0,0,79,78,0,0,0,forward
0,0,0,0,0,0,0,21,19,45,18,0,0,0,0,0,0,0,0,8,8,0,15,0,0,0,0,0,0,0,0,29,37,0,34,0,0,0,0,0,0,0,0,60,52,0,0,0,0,0,0,0,0,0,0,7,46,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,49,56,0,0,0,forward
