left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction,speed
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,69,0,0,0,0,0,0,0,0,0,0,49,79,0,0,0,0,0,77,0,0,0,0,0,4,0,0,0,0,0,41,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,16,39,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0,0,0,0,0,0,0,0,36,82,0,0,0,0,0,13,0,0,0,0,37,65,0,0,0,0,0,58,0,0,0,11,0,0,0,0,0,0,28,88,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,0,0,0,36,84,0,0,0,0,0,13,0,0,0,0,37,65,0,0,0,0,0,58,0,0,0,11,0,0,0,0,0,0,28,88,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,31,78,0,0,0,0,0,11,0,0,0,0,48,62,0,0,0,0,0,60,0,0,0,30,50,58,5,0,0,0,0,35,0,0,0,0,31,72,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,56,111,0,0,0,0,0,0,0,0,0,0,131,130,22,0,0,0,0,89,19,0,0,19,67,76,17,0,0,0,20,89,0,0,0,0,23,70,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,55,110,0,0,0,0,0,0,0,0,0,0,132,132,23,0,0,0,0,91,22,0,0,22,52,60,10,0,0,0,19,87,0,0,0,0,10,56,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,55,111,0,0,0,0,0,0,0,0,0,0,132,131,23,0,0,0,0,92,22,0,0,24,40,52,8,0,0,0,21,89,0,0,0,0,6,52,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,56,111,0,0,0,0,0,0,0,0,0,0,131,131,23,0,0,0,0,91,21,0,0,26,39,51,8,0,0,0,21,91,0,0,0,0,4,51,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,56,111,0,0,0,0,0,0,0,0,0,0,133,132,24,0,0,0,0,92,22,0,0,27,36,50,8,0,0,0,21,90,0,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,119,107,20,0,0,0,10,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,78,66,0,0,0,0,0,60,0,0,0,strafe_left,1.0
0,125,106,20,0,0,0,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,80,67,0,0,0,0,0,63,0,0,0,strafe_left,1.0
0,115,108,21,0,0,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,81,68,0,0,0,0,0,63,0,0,0,strafe_left,1.0
0,19,29,0,0,0,0,17,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,21,49,0,0,0,0,0,0,0,0,0,0,88,80,12,0,0,0,0,67,0,0,0,strafe_left,0.5
0,18,30,0,0,0,0,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,25,48,0,0,0,0,0,0,0,0,0,0,91,82,13,0,0,0,0,64,0,0,0,strafe_left,0.5
0,48,76,0,0,0,0,24,0,0,0,0,0,95,105,38,0,0,0,0,0,0,0,0,0,63,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,51,0,0,0,0,33,69,0,0,0,0,0,20,0,0,0,0,60,86,7,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,backward,0.5
0,48,75,0,0,0,0,24,0,0,0,0,0,95,105,40,0,0,0,0,0,0,0,0,0,62,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,52,0,0,0,0,32,68,0,0,0,0,0,21,0,0,0,0,57,86,5,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,backward,0.5
0,54,80,0,0,0,0,0,0,0,0,0,0,108,117,14,0,0,0,0,0,0,0,0,0,75,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,68,0,0,0,0,0,0,0,0,0,0,68,90,0,0,0,0,0,0,0,0,0,0,9,48,0,0,0,0,0,0,0,0,0,backward,0.5
