left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction,speed
0,0,60,149,98,8,0,0,30,4,0,0,0,0,122,100,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,132,48,0,0,0,0,0,0,0,0,0,0,106,209,0,0,0,0,5,100,0,0,strafe_left,1.0
0,0,40,128,116,33,30,0,56,42,0,0,0,0,79,84,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,102,26,0,0,0,0,0,0,0,0,0,0,52,97,0,0,0,0,0,74,0,0,strafe_left,1.0
0,0,8,76,83,25,41,0,67,69,0,0,0,0,37,55,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,92,21,0,0,0,0,0,0,0,0,0,0,49,92,0,0,0,0,0,73,0,0,strafe_left,1.0
0,0,28,97,111,40,46,0,77,61,0,0,0,0,62,77,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,68,7,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,37,0,0,strafe_left,1.0
0,0,0,61,77,29,42,0,76,84,0,0,0,0,45,68,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,74,12,0,0,0,0,0,0,0,0,0,0,8,47,0,0,0,0,0,68,0,0,strafe_left,1.0
0,0,0,74,56,10,15,0,57,36,0,0,0,0,63,65,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,132,55,0,0,0,0,0,0,0,0,0,0,90,218,0,0,0,0,10,87,0,0,strafe_left,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,30,0,0,0,0,0,0,0,0,0,0,91,68,0,0,0,0,0,0,0,0,0,0,84,67,0,0,0,0,0,76,0,0,0,0,128,27,0,0,0,0,72,49,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,strafe_right,1.0
0,0,0,71,0,0,0,0,0,0,0,0,0,0,116,104,0,0,0,0,0,0,0,0,0,0,125,95,0,0,0,0,0,0,0,0,0,0,39,43,0,0,0,0,0,0,0,0,0,0,109,35,0,0,0,0,0,0,0,0,0,0,104,43,0,0,0,0,0,0,0,0,0,0,71,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward,0.5
0,0,0,73,0,0,0,0,0,0,0,0,0,0,117,105,0,0,0,0,0,0,0,0,0,0,126,96,0,0,0,0,0,0,0,0,0,0,41,40,0,0,0,0,0,0,0,0,0,0,111,39,0,0,0,0,0,0,0,0,0,0,107,43,0,0,0,0,0,0,0,0,0,0,69,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward,0.5
0,0,0,73,0,0,0,0,0,0,0,0,0,0,118,101,0,0,0,0,0,0,0,0,0,0,126,96,0,0,0,0,0,0,0,0,0,0,40,44,0,0,0,0,0,0,0,0,0,0,111,38,0,0,0,0,0,0,0,0,0,0,105,47,0,0,0,0,0,0,0,0,0,0,70,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,backward,0.5
