left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction,speed
0,0,0,0,0,0,0,41,20,0,0,0,0,0,0,0,0,0,0,31,49,0,0,0,0,0,31,0,0,0,0,0,66,10,0,0,0,0,11,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,77,33,0,0,0,0,0,0,0,0,0,0,51,67,0,0,0,0,9,0,0,0,0,0,11,0,0,0,forward,0.5
0,0,0,0,0,0,0,44,23,0,0,0,0,0,0,0,0,0,0,30,47,0,0,0,0,0,30,0,0,0,0,0,61,6,0,0,0,0,16,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,79,35,0,0,0,0,0,0,0,0,0,0,45,60,0,0,0,0,11,0,0,0,0,0,11,0,0,0,forward,0.5
0,0,0,0,0,0,0,44,23,0,0,0,0,0,0,0,0,0,0,30,47,0,0,0,0,0,31,0,0,0,0,0,61,6,0,0,0,0,18,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79,37,0,0,0,0,0,0,0,0,0,0,44,59,0,0,0,0,11,0,0,0,0,0,11,0,0,0,forward,0.5
0,0,0,0,0,0,0,44,23,0,0,0,0,0,0,0,0,0,0,31,47,0,0,0,0,0,31,0,0,0,0,0,61,6,0,0,0,0,18,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,78,37,0,0,0,0,0,0,0,0,0,0,44,58,0,0,0,0,12,0,0,0,0,0,11,0,0,0,forward,0.5
0,0,0,0,0,0,0,45,24,0,0,0,0,0,0,0,0,0,0,30,46,0,0,0,0,0,30,0,0,0,0,0,60,5,0,0,0,0,18,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,79,37,0,0,0,0,0,0,0,0,0,0,42,57,0,0,0,0,13,0,0,0,0,0,11,0,0,0,forward,0.5
0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,29,50,6,0,0,0,0,32,0,0,0,0,0,69,19,0,0,0,0,17,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,70,49,0,0,0,0,33,0,0,0,0,0,17,28,0,0,0,0,22,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,29,50,6,0,0,0,0,34,0,0,0,0,0,69,16,0,0,0,0,16,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,70,48,0,0,0,0,35,0,0,0,0,0,17,28,0,0,0,0,22,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,9,18,0,0,0,0,0,0,0,0,0,0,28,50,5,0,0,0,0,33,0,0,0,0,0,65,16,0,0,0,0,16,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,69,48,0,0,0,0,39,0,0,0,0,0,16,27,0,0,0,0,22,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,59,36,0,0,0,0,0,0,0,0,0,0,17,47,21,0,0,0,0,29,0,0,0,0,0,54,3,0,0,0,0,27,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,47,0,0,0,0,16,0,0,0,0,0,28,54,0,0,0,0,16,0,0,0,0,0,12,0,0,0,forward,0.5
0,0,0,0,0,0,0,59,35,0,0,0,0,0,0,0,0,0,0,17,43,19,0,0,0,0,29,0,0,0,0,0,55,4,0,0,0,0,27,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,47,0,0,0,0,13,0,0,0,0,0,28,54,0,0,0,0,18,0,0,0,0,0,12,0,0,0,forward,0.5
0,0,0,0,0,0,0,58,36,0,0,0,0,0,0,0,0,0,0,18,47,21,0,0,0,0,30,0,0,0,0,0,56,5,0,0,0,0,27,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71,48,0,0,0,0,10,0,0,0,0,0,30,57,0,0,0,0,18,0,0,0,0,0,12,0,0,0,forward,0.5
0,0,0,0,0,0,0,58,36,0,0,0,0,0,0,0,0,0,0,18,48,23,0,0,0,0,30,0,0,0,0,0,57,6,0,0,0,0,25,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,71,48,0,0,0,0,6,0,0,0,0,0,30,58,0,0,0,0,17,0,0,0,0,0,12,0,0,0,forward,0.5
0,0,0,0,0,0,0,58,36,0,0,0,0,0,0,0,0,0,0,18,49,24,0,0,0,0,29,0,0,0,0,0,56,7,0,0,0,0,24,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,47,0,0,0,0,11,0,0,0,0,0,28,56,0,0,0,0,17,0,0,0,0,0,11,0,0,0,forward,0.5
0,0,0,0,0,0,0,53,32,0,0,0,0,0,0,0,0,0,0,21,37,6,0,0,0,0,36,0,0,0,0,0,51,0,0,0,0,0,30,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,59,44,0,0,0,0,20,0,0,0,0,0,21,40,0,0,0,0,23,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,54,34,0,0,0,0,0,0,0,0,0,0,21,41,6,0,0,0,0,36,0,0,0,0,0,49,0,0,0,0,0,28,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,62,45,0,0,0,0,17,0,0,0,0,0,21,41,0,0,0,0,24,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,53,34,0,0,0,0,0,0,0,0,0,0,18,41,6,0,0,0,0,35,0,0,0,0,0,52,0,0,0,0,0,28,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,63,44,0,0,0,0,15,0,0,0,0,0,21,39,0,0,0,0,24,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,54,34,0,0,0,0,0,0,0,0,0,0,21,41,7,0,0,0,0,35,0,0,0,0,0,52,0,0,0,0,0,28,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,59,44,0,0,0,0,16,0,0,0,0,0,22,41,0,0,0,0,23,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,53,34,0,0,0,0,0,0,0,0,0,0,21,41,7,0,0,0,0,33,0,0,0,0,0,52,0,0,0,0,0,28,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,63,44,0,0,0,0,17,0,0,0,0,0,21,42,0,0,0,0,21,0,0,0,0,0,0,0,0,0,forward,0.5
0,0,0,0,0,0,0,6,40,0,0,17,0,0,0,0,0,0,0,0,66,52,0,0,0,0,0,0,0,0,0,0,101,65,0,0,0,0,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,72,53,0,0,0,0,0,0,0,0,0,0,9,86,0,57,0,0,0,0,0,0,0,0,0,29,0,0,forward,0.75
0,0,0,0,0,0,0,3,39,0,0,17,0,0,0,0,0,0,0,0,66,52,0,0,0,0,0,0,0,0,0,0,101,66,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,71,53,0,0,0,0,0,0,0,0,0,0,9,86,0,56,0,0,0,0,0,0,0,0,0,25,0,0,forward,0.75
0,0,0,0,0,0,0,0,39,0,0,17,0,0,0,0,0,0,0,0,67,53,0,0,0,0,0,0,0,0,0,0,100,66,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,0,71,53,0,0,0,0,0,0,0,0,0,0,6,83,0,54,0,0,0,0,0,0,0,0,0,31,0,0,forward,0.75
0,0,0,0,0,0,0,0,41,0,0,15,0,0,0,0,0,0,0,0,67,54,0,0,0,0,0,0,0,0,0,0,100,66,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,72,54,0,0,0,0,0,0,0,0,0,0,10,86,0,47,0,0,0,0,0,0,0,0,0,32,0,0,forward,0.75
