left_1,left_2,left_3,left_4,left_5,left_6,left_7,left_8,left_9,left_10,left_11,left_12,left_13,left_14,left_15,left_16,left_17,left_18,left_19,left_20,left_21,left_22,left_23,left_24,left_25,left_26,left_27,left_28,left_29,left_30,left_31,left_32,left_33,left_34,left_35,left_36,left_37,left_38,left_39,left_40,left_41,left_42,left_43,left_44,left_45,left_46,left_47,left_48,right_1,right_2,right_3,right_4,right_5,right_6,right_7,right_8,right_9,right_10,right_11,right_12,right_13,right_14,right_15,right_16,right_17,right_18,right_19,right_20,right_21,right_22,right_23,right_24,right_25,right_26,right_27,right_28,right_29,right_30,right_31,right_32,right_33,right_34,right_35,right_36,right_37,right_38,right_39,right_40,right_41,right_42,right_43,right_44,right_45,right_46,right_47,right_48,direction
0,0,0,0,0,0,0,54,0,0,0,0,0,27,19,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,18,18,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,26,18,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,17,18,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,25,18,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,18,18,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,26,18,0,0,0,0,22,0,0,0,0,0,7,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,18,18,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,25,18,0,0,0,0,21,0,0,0,0,0,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,18,19,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,26,19,0,0,0,0,22,0,0,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,18,19,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,25,18,0,0,0,0,21,0,0,0,0,0,8,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,18,17,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,27,12,0,0,0,0,0,23,0,0,0,0,0,12,0,0,0,21,45,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,44,39,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,7,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,0,0,0,23,0,0,0,0,0,12,0,0,0,21,46,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,45,40,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,7,0,0,0,none
0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,27,8,0,0,0,0,0,23,0,0,0,0,0,12,0,0,0,23,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,45,39,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,6,0,0,0,none
